Put,(put),Koymak,Put it on the table.,Onu masanýn üzerine koy.,(put it on dý tey-býl),Verb
Mean,(min),Anlamýna gelmek,What does this mean?,Bu ne anlama geliyor?,(vat daz dis min),Verb
Keep,(kip),Tutmak / Korumak,Keep the secret.,Sýrrý tut.,(kip dý sik-rýt),Verb
Let,(let),Ýzin vermek,Let me go.,Gitmeme izin ver.,(let mi go),Verb
Begin,(bi-gin),Baþlamak,Let's begin now.,Hadi þimdi baþlayalým.,(lets bi-gin nav),Verb
Seem,(sim),Görünmek,You seem tired.,Yorgun görünüyorsun.,(yu sim tay-ýrd),Verb
Help,(help),Yardým etmek,Can you help me?,Bana yardým edebilir miyin?,(ken yu help mi),Verb
Show,(þov),Göstermek,Show me the way.,Bana yolu göster.,(þov mi dý vey),Verb
Hear,(hir),Duymak,I can hear you.,Seni duyabiliyorum.,(ay ken hir yu),Verb
Play,(pley),Oynamak,They play football.,Onlar futbol oynar.,(dey pley fut-bol),Verb
Run,(ran),Koþmak,I like to run.,Koþmayý severim.,(ay layk tu ran),Verb
Move,(muv),Hareket etmek,Don't move.,Kýmýldama.,(dont muv),Verb
Live,(liv),Yaþamak,I live in Turkey.,Türkiye'de yaþýyorum.,(ay liv in tür-ki),Verb
Believe,(bi-liv),Ýnanmak,I believe you.,Sana inanýyorum.,(ay bi-liv yu),Verb
Bring,(bring),Getirmek,Bring me some tea.,Bana biraz çay getir.,(bring mi sam ti),Verb
Time,(taym),Zaman,I don't have time.,Zamaným yok.,(ay dont hev taym),Noun
Year,(yir),Yýl,Last year was great.,Geçen yýl harikaydý.,(lest yir vaz greyt),Noun
People,(pi-pýl),Ýnsanlar,People are nice.,Ýnsanlar naziktir.,(pi-pýl ar nays),Noun
Way,(vey),Yol,This is the way.,Yol budur.,(dis iz dý vey),Noun
Day,(dey),Gün,Have a nice day.,Ýyi günler.,(hev ey nays dey),Noun
Man,(men),Adam,He is a good man.,O iyi bir adam.,(hi iz ey gud men),Noun
Thing,(ting),Þey,One more thing.,Bir þey daha.,(van mor ting),Noun
Woman,(vu-mýn),Kadýn,She is a strong woman.,O güçlü bir kadýn.,(þi iz ey strong vu-mýn),Noun
Life,(layf),Hayat,Life is beautiful.,Hayat güzeldir.,(layf iz bi-yu-ti-ful),Noun
Child,(çayld),Çocuk,The child is playing.,Çocuk oynuyor.,(dý çayld iz pley-ing),Noun
World,(vörld),Dünya,Around the world.,Dünya çapýnda.,(e-ravnd dý vörld),Noun
School,(skul),Okul,I go to school.,Okula gidiyorum.,(ay go tu skul),Noun
State,(steyt),Durum / Eyalet,A solid state.,Katý bir durum.,(ey so-lid steyt),Noun
Family,(fe-mi-li),Aile,I love my family.,Ailemi seviyorum.,(ay lav may fe-mi-li),Noun
Student,(stü-dýnt),Öðrenci,I am a student.,Ben bir öðrenciyim.,(ay em ey stü-dýnt),Noun
Group,(grup),Grup,Join our group.,Grubumuza katýl.,(coin a-výr grup),Noun
Country,(kan-tri),Ülke,Which country?,Hangi ülke?,(viç kan-tri),Noun
Problem,(prob-lým),Problem,No problem.,Problem yok.,(no prob-lým),Noun
Hand,(hend),El,Wash your hand.,Elini yýka.,(voþ yor hend),Noun
Part,(part),Parça,This is a part of it.,Bu onun bir parçasý.,(dis iz ey part ov it),Noun
Place,(pleys),Yer,A quiet place.,Sessiz bir yer.,(ey kva-yýt pleys),Noun
Case,(keys),Durum / Vaka,In this case.,Bu durumda.,(in dis keys),Noun
Week,(vik),Hafta,Next week.,Gelecek hafta.,(nekst vik),Noun
Company,(kam-pý-ni),Þirket,A big company.,Büyük bir þirket.,(ey big kam-pý-ni),Noun
System,(sis-tým),Sistem,The system is down.,Sistem kapalý.,(dý sis-tým iz davn),Noun
Program,(pro-gram),Program,A new program.,Yeni bir program.,(ey ni-yu pro-gram),Noun
Question,(kves-çýn),Soru,Any question?,Herhangi bir soru var mý?,(e-ni kves-çýn),Noun
Work,(vörk),Ýþ,Good work.,Ýyi iþ.,(gud vörk),Noun
Government,(ga-výrm-mýnt),Hükümet,The government decided.,Hükümet karar verdi.,(dý ga-výrm-mýnt di-say-did),Noun
Number,(nam-býr),Numara,What is your number?,Numaran kaç?,(vat iz yor nam-býr),Noun
Night,(nayt),Gece,Good night.,Ýyi geceler.,(gud nayt),Noun
Mr,(mis-týr),Bay,Mr. Brown.,Bay Brown.,(mis-týr bravn),Noun
Point,(poynt),Nokta,Good point.,Ýyi nokta (haklýsýn).,(gud poynt),Noun
Home,(hom),Ev,Go home.,Eve git.,(go hom),Noun
Water,(vo-týr),Su,Drink water.,Su iç.,(drink vo-týr),Noun
Room,(rum),Oda,A large room.,Büyük bir oda.,(ey larc rum),Noun
Mother,(ma-dýr),Anne,My mother is kind.,Annem naziktir.,(may ma-dýr iz kaynd),Noun
Area,(e-ri-ya),Alan,In this area.,Bu alanda.,(in dis e-ri-ya),Noun
Money,(ma-ni),Para,Save money.,Para biriktir.,(seyv ma-ni),Noun
Story,(sto-ri),Hikaye,Tell a story.,Bir hikaye anlat.,(tel ey sto-ri),Noun
Fact,(fekt),Gerçek,It is a fact.,Bu bir gerçektir.,(it iz ey fekt),Noun
Month,(mant),Ay,Next month.,Gelecek ay.,(nekst mant),Noun
Lot,(lot),Çok,A lot of people.,Bir çok insan.,(ey lot ov pi-pýl),Noun
Right,(rayt),Doðru / Sað,You are right.,Haklýsýn.,(yu ar rayt),Adj/Noun
Study,(sta-di),Çalýþmak (Ders),I must study.,Ders çalýþmam lazým.,(ay mast sta-di),Verb
Book,(buk),Kitap,Read a book.,Bir kitap oku.,(rid ey buk),Noun
Eye,(ay),Göz,Close your eye.,Gözünü kapat.,(kloz yor ay),Noun
Job,(cab),Ýþ / Meslek,I have a job.,Bir iþim var.,(ay hev ey cab),Noun
Word,(vörd),Kelime,One word.,Bir kelime.,(van vörd),Noun
Business,(biz-nýs),Ýþ / Ticaret,Small business.,Küçük iþletme.,(smol biz-nýs),Noun
Issue,(i-þu),Mesele / Sorun,A big issue.,Büyük bir mesele.,(ey big i-þu),Noun
Side,(sayd),Yan / Taraf,On my side.,Benim tarafýmda.,(on may sayd),Noun
Kind,(kaynd),Tür / Nazik,Be kind.,Nazik ol.,(bi kaynd),Adj/Noun
Head,(hed),Baþ,My head hurts.,Baþým aðrýyor.,(may hed hörts),Noun
House,(haus),Ev,A big house.,Büyük bir ev.,(ey big haus),Noun
Service,(sör-vis),Hizmet,Great service.,Harika hizmet.,(greyt sör-vis),Noun
Friend,(frend),Arkadaþ,My best friend.,En iyi arkadaþým.,(may best frend),Noun
Father,(fa-dýr),Baba,My father is tall.,Babam uzundur.,(may fa-dýr iz tol),Noun
Power,(pa-výr),Güç,Knowledge is power.,Bilgi güçtür.,(no-lic iz pa-výr),Noun
Hour,(au-výr),Saat,One hour.,Bir saat.,(van a-výr),Noun
City,(si-ti),Þehir,I love this city.,Bu þehri seviyorum.,(ay lav dis si-ti),Noun
Start,(start),Baþlamak,Let's start the game.,Hadi oyuna baþlayalým.,(lets start dý geym),Verb
Stop,(stop),Durmak,Stop the car.,Arabayý durdur.,(stop dý kar),Verb
Open,(o-pýn),Açmak,Open the door.,Kapýyý aç.,(o-pýn dý dor),Verb/Adj
Close,(kloz),Kapatmak,Close the window.,Pencereyi kapat.,(kloz dý vin-dou),Verb/Adj
Read,(rid),Okumak,Read a book.,Bir kitap oku.,(rid ey buk),Verb
Write,(rayt),Yazmak,Write your name.,Ýsmini yaz.,(rayt yor neym),Verb
Listen,(lis-ýn),Dinlemek,Listen to me.,Beni dinle.,(lis-ýn tu mi),Verb
Speak,(spik),Konuþmak,Speak slowly.,Yavaþ konuþ.,(spik slo-li),Verb
Eat,(it),Yemek yemek,I want to eat.,Yemek yemek istiyorum.,(ay vant tu it),Verb
Drink,(drink),Ýçmek,Drink some water.,Biraz su iç.,(drink sam vo-týr),Verb
Sleep,(slip),Uyumak,I need to sleep.,Uyumam lazým.,(ay nid tu slip),Verb
Buy,(bay),Satýn almak,Buy a ticket.,Bir bilet al.,(bay ey ti-kýt),Verb
Sell,(sel),Satmak,Sell your car.,Arabaný sat.,(sel yor kar),Verb
Wait,(veyt),Beklemek,Wait for me.,Beni bekle.,(veyt for mi),Verb
Walk,(vok),Yürümek,Walk in the park.,Parkta yürü.,(vok in dý park),Verb
Sit,(sit),Oturmak,Sit down.,Otur.,(sit davn),Verb
Stand,(stend),Ayakta durmak,Stand up.,Ayaða kalk.,(stend ap),Verb
Watch,(voç),Ýzlemek,Watch a movie.,Bir film izle.,(voç ey mu-vi),Verb
Learn,(lörn),Öðrenmek,I want to learn.,Öðrenmek istiyorum.,(ay vant tu lörn),Verb
Understand,(an-dýr-stend),Anlamak,I understand you.,Seni anlýyorum.,(ay an-dýr-stend yu),Verb
Remember,(ri-mem-býr),Hatýrlamak,Remember this day.,Bu günü hatýrla.,(ri-mem-býr dis dey),Verb
Forget,(for-get),Unutmak,Don't forget me.,Beni unutma.,(dont for-get mi),Verb
Kitchen,(kit-çýn),Mutfak,The kitchen is clean.,Mutfak temizdir.,(dý kit-çýn iz klin),Noun
Food,(fud),Yemek,I love Italian food.,Ýtalyan yemeðini severim.,(ay lav i-tel-yýn fud),Noun
Breakfast,(brek-fýst),Kahvaltý,Breakfast is ready.,Kahvaltý hazýr.,(brek-fýst iz re-di),Noun
Lunch,(lanç),Öðle Yemeði,Let’s have lunch.,Hadi öðle yemeði yiyelim.,(lets hev lanç),Noun
Dinner,(di-nýr),Akþam Yemeði,Dinner was good.,Akþam yemeði iyiydi.,(di-nýr vaz gud),Noun
Apple,(e-pýl),Elma,Eat an apple.,Bir elma ye.,(it en e-pýl),Noun
Milk,(milk),Süt,Drink your milk.,Sütünü iç.,(drink yor milk),Noun
Coffee,(ka-fi),Kahve,I need coffee.,Kahveye ihtiyacým var.,(ay nid ka-fi),Noun
Body,(ba-di),Vücut,My body is tired.,Vücudum yorgun.,(may ba-di iz tay-ýrd),Noun
Mouth,(mavt),Aðýz,Open your mouth.,Aðzýný aç.,(o-pýn yor mavt),Noun
Health,(helth),Saðlýk,Health is important.,Saðlýk önemlidir.,(helth iz im-por-tant),Noun
Paper,(pey-pýr),Kaðýt,Give me a paper.,Bana bir kaðýt ver.,(giv mi ey pey-pýr),Noun
Pen,(pen),Kalem,I have a pen.,Bir kalemim var.,(ay hev ey pen),Noun
Table,(tey-býl),Masa,It is on the table.,O masanýn üstünde.,(it iz on dý tey-býl),Noun
Chair,(çe-ýr),Sandalye,Sit on the chair.,Sandalyeye otur.,(sit on dý çe-ýr),Noun
Window,(vin-dou),Pencere,Close the window.,Pencereyi kapat.,(kloz dý vin-dou),Noun
Door,(dor),Kapý,Open the door.,Kapýyý aç.,(o-pýn dý dor),Noun
Road,(roud),Yol,The road is long.,Yol uzundur.,(dý roud iz long),Noun
Bus,(bas),Otobüs,Take the bus.,Otobüse bin.,(teyk dý bas),Noun
Car,(kar),Araba,My car is blue.,Arabam mavidir.,(may kar iz blu),Noun
Sun,(san),Güneþ,The sun is hot.,Güneþ sýcaktýr.,(dý san iz hat),Noun
Moon,(mun),Ay,Look at the moon.,Aya bak.,(luk et dý mun),Noun
Rain,(reyn),Yaðmur,I like the rain.,Yaðmuru severim.,(ay layk dý reyn),Noun
Snow,(snou),Kar,I love the snow.,Karý seviyorum.,(ay lav dý snou),Noun
Flower,(fla-výr),Çiçek,A beautiful flower.,Güzel bir çiçek.,(ey bi-yu-ti-ful fla-výr),Noun
Tree,(tri),Aðaç,A big tree.,Büyük bir aðaç.,(ey big tri),Noun
Dog,(dog),Köpek,I have a dog.,Bir köpeðim var.,(ay hev ey dog),Noun
Cat,(ket),Kedi,The cat is cute.,Kedi sevimlidir.,(dý ket iz kiyut),Noun
Bird,(börd),Kuþ,The bird can fly.,Kuþ uçabilir.,(dý börd ken flay),Noun
Sea,(si),Deniz,The sea is blue.,Deniz mavidir.,(dý si iz blu),Noun
River,(ri-výr),Nehir,The river is deep.,Nehir derindir.,(dý ri-výr iz dip),Noun
Mountain,(mavn-týn),Dað,A high mountain.,Yüksek bir dað.,(hay mavn-týn),Noun
Morning,(mor-ning),Sabah,In the morning.,Sabah vaktinde.,(in dý mor-ning),Noun
Evening,(iv-ning),Akþam,Good evening.,Ýyi akþamlar.,(gud iv-ning),Noun
Summer,(sa-mýr),Yaz,I love summer.,Yazý seviyorum.,(ay lav sa-mýr),Noun
Winter,(vin-týr),Kýþ,Cold winter.,Soðuk kýþ.,(kold vin-týr),Noun
Spring,(spring),Ýlkbahar,Spring is nice.,Ýlkbahar hoþtur.,(spring iz nays),Noun
Autumn,(o-tým),Sonbahar,Autumn leaves.,Sonbahar yapraklarý.,(o-tým livz),Noun
Today,(tu-dey),Bugün,I am busy today.,Bugün meþgulüm.,(ay em bi-zi tu-dey),Adv/Noun
Yesterday,(yes-týr-dey),Dün,Yesterday was cold.,Dün soðuktu.,(yes-týr-dey vaz kold),Adv/Noun
Tomorrow,(tu-ma-rou),Yarýn,See you tomorrow.,Yarýn görüþürüz.,(si yu tu-ma-rou),Adv/Noun
Now,(nav),Þimdi,Do it now.,Þimdi yap.,(du it nav),Adv
Always,(ol-veyz),Her zaman,I always try.,Her zaman denerim.,(ay ol-veyz tray),Adv
Never,(ne-výr),Asla,Never say never.,Asla asla deme.,(ne-výr sey ne-výr),Adv
Sometimes,(sam-taymz),Bazen,Sometimes it rains.,Bazen yaðmur yaðar.,(sam-taymz it reynz),Adv
Often,(of-ýn),Sýk sýk,I often read.,Sýk sýk okurum.,(ay of-ýn rid),Adv
Back,(bek),Geri,Come back.,Geri gel.,(kam bek),Adv/Noun
Front,(frant),Ön,At the front.,Ön tarafta.,(et dý frant),Noun/Adj
Under,(an-dýr),Altýnda,Under the bed.,Yataðýn altýnda.,(an-dýr dý bed),Prep
Between,(bi-tvin),Arasýnda,Between us.,Aramýzda.,(bi-tvin as),Prep
Inside,(in-sayd),Ýçinde,Go inside.,Ýçeri gir.,(go in-sayd),Adv/Prep
Outside,(avt-sayd),Dýþýnda,Wait outside.,Dýþarýda bekle.,(veyt avt-sayd),Adv/Prep
Color,(ka-lýr),Renk,My favorite color.,En sevdiðim renk.,(may fey-vý-rit ka-lýr),Noun
Red,(red),Kýrmýzý,A red car.,Kýrmýzý bir araba.,(ey red kar),Adj
Blue,(blu),Mavi,Blue sky.,Mavi gökyüzü.,(blu skay),Adj
Green,(grin),Yeþil,Green grass.,Yeþil çimen.,(grin gres),Adj
Yellow,(ye-lou),Sarý,Yellow flower.,Sarý çiçek.,(ye-lou fla-výr),Adj
Black,(blek),Siyah,Black cat.,Siyah kedi.,(blek ket),Adj
White,(vayt),Beyaz,White shirt.,Beyaz gömlek.,(vayt þört),Adj
Early,(ör-li),Erken,Wake up early.,Erken uyan.,(veyk ap ör-li),Adj/Adv
Late,(leyt),Geç,You are late.,Geç kaldýn.,(yu ar leyt),Adj/Adv
Cheap,(çip),Ucuz,This is cheap.,Bu ucuz.,(dis iz çip),Adj
Expensive,(eks-pen-siv),Pahalý,It is expensive.,O pahalýdýr.,(it iz eks-pen-siv),Adj
Full,(ful),Dolu,The glass is full.,Bardak dolu.,(dý gles iz ful),Adj
Empty,(emp-ti),Boþ,The box is empty.,Kutu boþ.,(dý boks iz emp-ti),Adj
True,(tru),Doðru,It is true.,Bu doðru.,(iz it tru),Adj
False,(fols),Yanlýþ,This is false.,Bu yanlýþtýr.,(dis iz fols),Adj
Near,(nir),Yakýn,It is near.,Yakýnda.,(it iz nir),Adj/Prep
Far,(far),Uzak,How far?,Ne kadar uzak?,(hav far),Adj/Adv
Heavy,(he-vi),Aðýr,It is heavy.,O aðýrdýr.,(it iz he-vi),Adj
Light,(layt),Hafif,The bag is light.,Çanta hafiftir.,(dý beg iz layt),Adj
Quiet,(kva-yýt),Sessiz,Be quiet.,Sessiz ol.,(bi kva-yýt),Adj
Ready,(re-di),Hazýr,I am ready.,Ben hazýrým.,(ay em re-di),Adj
Famous,(fey-mýs),Ünlü,A famous man.,Ünlü bir adam.,(ey fey-mýs men),Adj
Safe,(seyf),Güvenli,It is safe.,O güvenlidir.,(it iz seyf),Adj
Possible,(po-si-býl),Mümkün,Is it possible?,Bu mümkün mü?,(iz it po-si-býl),Adj
Important,(im-por-tant),Önemli,Very important.,Çok önemli.,(ve-ri im-por-tant),Adj
Special,(spe-þýl),Özel,A special day.,Özel bir gün.,(ey spe-þýl dey),Adj
Kind,(kaynd),Nazik / Tür,She is very kind.,O çok naziktir.,(þi iz ve-ri kaynd),Adj/Noun
Hard,(hard),Sert / Zor,This rock is hard.,Bu kaya serttir.,(dis rak iz hard),Adj
Soft,(soft),Yumuþak,The bed is soft.,Yatak yumuþaktýr.,(dý bed iz soft),Adj
High,(hay),Yüksek,A high mountain.,Yüksek bir dað.,(ey hay mavn-týn),Adj
Low,(lou),Alçak / Düþük,The sun is low.,Güneþ alçakta.,(dý san iz lou),Adj
Simple,(sim-pýl),Basit,It is a simple plan.,Bu basit bir plan.,(it iz ey sim-pýl plen),Adj
Dangerous,(deyn-cýr-ýs),Tehlikeli,It is dangerous.,O tehlikelidir.,(it iz deyn-cýr-ýs),Adj
Possible,(po-si-býl),Mümkün,Everything is possible.,Her þey mümkündür.,(ev-ri-ting iz po-si-býl),Adj
Impossible,(im-po-si-býl),Ýmkansýz,It is impossible.,O imkansýzdýr.,(it iz im-po-si-býl),Adj
Special,(spe-þýl),Özel,A special gift.,Özel bir hediye.,(ey spe-þýl gift),Adj
Different,(di-fý-rýnt),Farklý,We are different.,Biz farklýyýz.,(vi ar di-fý-rýnt),Adj
Same,(seym),Ayný,The same color.,Ayný renk.,(dý seym ka-lýr),Adj
Easy,(i-zi),Kolay,English is easy.,Ýngilizce kolaydýr.,(ing-liþ iz i-zi),Adj
Bad,(bed),Kötü,A bad idea.,Kötü bir fikir.,(ey bed ay-di-ya),Adj
Good,(gud),Ýyi,Good job!,Ýyi iþ!,(gud cab),Adj
Healthy,(hel-ti),Saðlýklý,Eat healthy food.,Saðlýklý yemek ye.,(it hel-ti fud),Adj
Sick,(sik),Hasta,I feel sick.,Hasta hissediyorum.,(ay fil sik),Adj
Strong,(strong),Güçlü,You are strong.,Sen güçlüsün.,(yu ar strong),Adj
Weak,(vik),Güçsüz,I feel weak.,Güçsüz hissediyorum.,(ay fil vik),Adj
Young,(yang),Genç,A young girl.,Genç bir kýz.,(ey yang görl),Adj
Rich,(riç),Zengin,A rich man.,Zengin bir adam.,(ey riç men),Adj
Poor,(pu-ýr),Fakir,A poor family.,Fakir bir aile.,(ey pu-ýr fe-mi-li),Adj
Hungry,(han-gri),Aç,I am hungry.,Açým.,(ay em han-gri),Adj
Thirsty,(törs-ti),Susamýþ,I am thirsty.,Susadým.,(ay em törs-ti),Adj
Sleepy,(sli-pi),Uykulu,I am sleepy.,Uykum var.,(ay em sli-pi),Adj
Tired,(tay-ýrd),Yorgun,You look tired.,Yorgun görünüyorsun.,(yu luk tay-ýrd),Adj
Angry,(eng-ri),Kýzgýn,Don't be angry.,Kýzgýn olma.,(dont bi eng-ri),Adj
Brave,(breyv),Cesur,A brave boy.,Cesur bir çocuk.,(ey breyv boy),Adj
Afraid,(ef-reyd),Korkmuþ,I am afraid.,Korkuyorum.,(ay em ef-reyd),Adj
Lucky,(la-ki),Þanslý,You are lucky.,Þanslýsýn.,(yu ar la-ki),Adj
Alone,(e-lon),Yalnýz,I am alone.,Yalnýzým.,(ay em e-lon),Adj
Together,(tu-ge-dýr),Birlikte,Let's work together.,Birlikte çalýþalým.,(lets vörk tu-ge-dýr),Adv
Near,(nir),Yakýn,It is very near.,O çok yakýnda.,(it iz ve-ri nir),Prep/Adj
Far,(far),Uzak,Is it far?,Uzak mý?,(iz it far),Prep/Adj
North,(nort),Kuzey,Go north.,Kuzeye git.,(go nort),Noun/Adj
South,(savt),Güney,In the south.,Güneyde.,(in dý savt),Noun/Adj
East,(ist),Doðu,The east wind.,Doðu rüzgarý.,(di ist vind),Noun/Adj
West,(vest),Batý,Wild west.,Vahþi batý.,(vayld vest),Noun/Adj
Left,(left),Sol,Turn left.,Sola dön.,(törn left),Noun/Adj
Right,(rayt),Sað,On the right.,Saðda.,(on dý rayt),Noun/Adj
Up,(ap),Yukarý,Look up.,Yukarý bak.,(luk ap),Adv
Down,(davn),Aþaðý,Sit down.,Otur.,(sit davn),Adv
In,(in),Ýçinde,It is in the box.,Kutunun içinde.,(it iz in dý boks),Prep
On,(on),Üstünde,On the table.,Masanýn üstünde.,(on dý tey-býl),Prep
Under,(an-dýr),Altýnda,Under the chair.,Sandalyenin altýnda.,(an-dýr dý çe-ýr),Prep
Behind,(bi-haynd),Arkasýnda,Behind you.,Arkanda.,(bi-haynd yu),Prep
Beside,(bi-sayd),Yanýnda,Sit beside me.,Yanýma otur.,(sit bi-sayd mi),Prep
Between,(bi-tvin),Arasýnda,Between us.,Aramýzda.,(bi-tvin as),Prep
About,(e-bavt),Hakkýnda,Tell me about it.,Bana ondan bahset.,(tel mi e-bavt it),Prep
With,(vid),Ýle,Come with me.,Benimle gel.,(kam vid mi),Prep
Without,(vi-davt),...sýz / ...siz,Without you.,Sensiz.,(vi-davt yu),Prep
For,(for),Ýçin,This is for you.,Bu senin için.,(dis iz for yu),Prep
From,(fram),-den / -dan,I am from here.,Buralýyým.,(ay em fram hir),Prep
To,(tu),-e / -a,Go to school.,Okula git.,(go tu skul),Prep
And,(end),Ve,You and me.,Sen ve ben.,(yu end mi),Conj
But,(bat),Ama,Small but strong.,Küçük ama güçlü.,(smol bat strong),Conj
Or,(or),Veya,Tea or coffee?,Çay mý kahve mi?,(ti or ka-fi),Conj
Because,(bi-koz),Çünkü,Because I love it.,Çünkü onu seviyorum.,(bi-koz ay lav it),Conj
So,(so),Bu yüzden / Öyle,"So, what?","Ee, ne olmuþ?",(so vat),Conj/Adv
If,(if),Eðer,If you want.,Eðer istersen.,(if yu vant),Conj
Then,(den),Sonra / O halde,"Then, let's go.",O halde gidelim.,(den lets go),Adv
When,(ven),Ne zaman,When is it?,O ne zaman?,(ven iz it),Adv/Conj
Where,(ver),Nerede,Where are you?,Neredesin?,(ver ar yu),Adv/Conj
Who,(hu),Kim,Who is that?,O kim?,(hu iz det),Pronoun
What,(vat),Ne,What is this?,Bu nedir?,(vat iz dis),Pronoun
Which,(viç),Hangi,Which one?,Hangisi?,(viç van),Pronoun
Why,(vay),Neden,Why not?,Neden olmasýn?,(vay not),Adv
How,(hav),Nasýl,How are you?,Nasýlsýn?,(hav ar yu),Adv
All,(ol),Hepsi,All of them.,Hepsi.,(ol ov dem),Adj/Pronoun
Some,(sam),Biraz / Bazý,Some water.,Biraz su.,(sam vo-týr),Adj
Any,(e-ni),Hiç / Herhangi,Any questions?,Hiç soru var mý?,(e-ni kves-çýnz),Adj
No,(no),Hayýr / Hiç,No problem.,Sorun deðil.,(no prob-lým),Adv/Adj
Every,(ev-ri),Her,Every day.,Her gün.,(ev-ri dey),Adj
Only,(on-li),Sadece,Only you.,Sadece sen.,(on-li yu),Adv/Adj
Very,(ve-ri),Çok,Very good.,Çok iyi.,(ve-ri gud),Adv
Too,(tu),Çok / De-da,Me too.,Ben de.,(mi tu),Adv
Also,(ol-so),Ayrýca,I also know.,Ben de biliyorum.,(ay ol-so nou),Adv
Still,(stil),Hala,I am still here.,Hala buradayým.,(ay em stil hir),Adv
Just,(cast),Sadece / Henüz,Just a moment.,Sadece bir dakika.,(cast ey mo-mýnt),Adv
Again,(e-gen),Tekrar,Try again.,Tekrar dene.,(tray e-gen),Adv
Almost,(ol-most),Neredeyse,Almost done.,Neredeyse bitti.,(ol-most dan),Adv
Maybe,(mey-bi),Belki,Maybe later.,Belki sonra.,(mey-bi ley-týr),Adv
People,(pi-pýl),Ýnsanlar,Nice people.,Nazik insanlar.,(nays pi-pýl),Noun
Thing,(ting),Þey,One more thing.,Bir þey daha.,(van mor ting),Noun
Way,(vey),Yol / Yöntem,This way.,Bu taraftan.,(dis vey),Noun
Place,(pleys),Yer,A quiet place.,Sessiz bir yer.,(ey kva-yýt pleys),Noun
Group,(grup),Grup,Join the group.,Gruba katýl.,(coin dý grup),Noun
System,(sis-tým),Sistem,The system is up.,Sistem çalýþýyor.,(dý sis-tým iz ap),Noun
Point,(poynt),Nokta,Good point.,Ýyi nokta.,(gud poynt),Noun
Idea,(ay-di-ya),Fikir,Great idea.,Harika fikir.,(greyt ay-di-ya),Noun
Fact,(fekt),Gerçek,It is a fact.,Bu bir gerçektir.,(it iz ey fekt),Noun
Case,(keys),Durum / Vaka,In this case.,Bu durumda.,(in dis keys),Noun
Problem,(prob-lým),Problem,No problem.,Problem yok.,(no prob-lým),Noun
Job,(cab),Ýþ,Good job.,Ýyi iþ.,(gud cab),Noun
Side,(sayd),Taraf,On my side.,Benim tarafýmda.,(on may sayd),Noun
Part,(part),Parça,A part of me.,Benim bir parçam.,(ey part ov mi),Noun
End,(end),Son,The end.,Son.,(di end),Noun
Wait,(veyt),Beklemek,Wait a minute.,Bir dakika bekle.,(veyt ey mi-nit),Verb
Try,(tray),Denemek,Try your best.,Elinden geleni dene.,(tray yor best),Verb
Show,(þou),Göstermek,Show me.,Bana göster.,(þou mi),Verb
